date,Aragonite saturation,Dissolved inorganic carbon,Hydrogen ion conc,Partial pressure CO2,Salinity,Salt water temperature,Total alkalinity,pH
1998-01-01,2.24,2084.5,8.0395e-09,348.8,34.268,10.5,2288.7,8.0948
1998-02-01,2.406,2058.3,8.117e-09,351.8,34.294,12.9,2277.7,8.0906
1998-03-01,2.393,2061.2,7.8964e-09,340.8,34.255,12.0,2280.0,8.1026
1998-04-01,2.2005,2081.8999999999996,8.1615e-09,353.45000000000005,34.289500000000004,10.3,2286.0,8.08845
1998-10-01,2.008,2102.6,8.4266e-09,366.1,34.324,8.6,2284.1,8.0743
1998-11-01,2.11,2086.1,8.5173e-09,370.8,34.263,10.3,2276.9,8.0697
1999-02-01,2.437,2062.4,8.3814e-09,366.5,34.281,13.9,2283.3,8.0767
1999-04-01,2.289,2077.7,8.1787e-09,355.8,34.27,11.5,2285.9,8.0873
1999-05-01,2.237,2074.2,8.0441e-09,347.4,34.273,10.6,2278.4,8.0945
1999-06-01,2.223,2084.1,8.0961e-09,351.3,34.277,10.4,2286.6,8.0917
1999-07-01,2.098,2099.3,8.1614e-09,354.2,34.274,9.0,2289.7,8.0882
1999-08-01,1.988,2114.2,8.5709e-09,374.9,34.3,8.6,2292.9,8.067
1999-11-01,2.205,2079.1,8.3598e-09,363.7,34.265,11.1,2279.2,8.0778
2000-02-01,2.448,2065.9,7.9561e-09,345.3,34.311,12.7,2289.3,8.0993
2000-04-01,2.317,2074.0,8.058e-09,349.6,34.294,11.5,2285.3,8.0938
2000-06-01,2.141,2100.4,8.4388e-09,369.6,34.3,10.3,2293.9,8.0737
2000-08-01,2.044,2102.1,8.3276e-09,361.9,34.303,8.7,2287.1,8.0795
2000-09-01,2.046,2088.8,8.3455e-09,360.9,34.3,9.0,2274.3,8.0785
2000-10-01,2.021,2096.6,8.2161e-09,354.9,34.264,8.2,2279.8,8.0853
2000-12-01,2.171,2086.4,8.3658e-09,364.3,34.295,10.6,2283.2,8.0775
2001-01-01,2.397,2063.5,7.9457e-09,343.8,34.222,12.2,2282.4,8.0999
2001-04-01,2.36,2075.0,7.8158e-09,338.1,34.287,11.2,2290.9,8.107
2001-05-01,2.091,2095.3,8.1561e-09,353.3,34.262,8.9,2285.2,8.0885
2001-08-01,1.989,2106.5,8.3775e-09,363.7,34.336,8.1,2286.2,8.0769
2001-09-01,2.118,2104.0,8.3406e-09,363.9,34.563,9.5,2296.3,8.0788
2001-12-01,2.271,2079.2,8.2349e-09,358.2,34.421,11.4,2286.0,8.0843
2002-01-01,2.543,2051.6,7.9714e-09,345.1,34.438,13.9,2284.0,8.0985
2002-04-01,2.31,2072.7,8.033e-09,347.8,34.388,11.3,2283.8,8.0951
2002-06-01,2.095,2095.8,8.196e-09,355.4,34.289,9.1,2286.0,8.0864
2002-08-01,1.992,2108.3,8.4133e-09,365.7,34.407,8.2,2288.2,8.075
2002-09-01,2.006,2103.9,8.4087e-09,365.3,34.321,8.5,2285.1,8.0753
2002-12-01,2.398,2063.1,7.8287e-09,337.2,34.501,11.8,2283.3,8.1063
2003-02-01,2.381,2067.8,8.0573e-09,349.7,34.3,12.3,2284.9,8.0938
2003-04-01,2.319,2064.5,7.9476e-09,342.6,34.286,11.3,2276.7,8.0998
2003-06-01,2.128,2100.1,8.1233e-09,353.1,34.248,9.2,2293.3,8.0903
2003-08-01,1.979,2115.5,8.2909e-09,360.5,34.238,7.7,2294.0,8.0814
2003-10-01,2.058,2109.4,8.3479e-09,364.1,34.408,8.8,2295.7,8.0784
2004-01-01,2.611,2042.6,7.4945e-09,320.6,34.46,13.2,2283.1,8.1253
2004-03-01,2.388,2060.2,7.8414e-09,337.8,34.26,11.8,2278.8,8.1056
2004-05-01,2.144,2085.8,8.2163e-09,355.9,34.355,9.8,2280.9,8.0853
2004-07-01,2.011,2098.4,8.2828e-09,358.1,34.359,8.2,2280.7,8.0818
