date,year,site,region,measure,data_value,unit,statistic,dataset
1998-01-20,1998,Taiaroa Head (50km offshore),Otago,Salinity,34.268,NA,Mean,Munida
1998-01-20,1998,Taiaroa Head (50km offshore),Otago,Total alkalinity,2288.7,umol/kg-1,Value,Munida
1998-01-20,1998,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2084.5,umol/kg-1,Value,Munida
1998-01-20,1998,Taiaroa Head (50km offshore),Otago,pH,8.0948,NA,Value,Munida
1998-01-20,1998,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.0395e-09,mol/kg-1,Value,Munida
1998-01-20,1998,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,348.8,uatm,Value,Munida
1998-01-20,1998,Taiaroa Head (50km offshore),Otago,Salt water temperature,10.5,Degrees Celsius,Mean,Munida
1998-01-20,1998,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.240,NA,Value,Munida
1998-02-16,1998,Taiaroa Head (50km offshore),Otago,Salinity,34.294,NA,Mean,Munida
1998-02-16,1998,Taiaroa Head (50km offshore),Otago,Total alkalinity,2277.7,umol/kg-1,Value,Munida
1998-02-16,1998,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2058.3,umol/kg-1,Value,Munida
1998-02-16,1998,Taiaroa Head (50km offshore),Otago,pH,8.0906,NA,Value,Munida
1998-02-16,1998,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,8.1170e-09,mol/kg-1,Value,Munida
1998-02-16,1998,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,351.8,uatm,Value,Munida
1998-02-16,1998,Taiaroa Head (50km offshore),Otago,Salt water temperature,12.9,Degrees Celsius,Mean,Munida
1998-02-16,1998,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.406,NA,Value,Munida
1998-03-17,1998,Taiaroa Head (50km offshore),Otago,Salinity,34.255,NA,Mean,Munida
1998-03-17,1998,Taiaroa Head (50km offshore),Otago,Total alkalinity,2280.0,umol/kg-1,Value,Munida
1998-03-17,1998,Taiaroa Head (50km offshore),Otago,Dissolved inorganic carbon,2061.2,umol/kg-1,Value,Munida
1998-03-17,1998,Taiaroa Head (50km offshore),Otago,pH,8.1026,NA,Value,Munida
1998-03-17,1998,Taiaroa Head (50km offshore),Otago,Hydrogen ion conc,7.8964e-09,mol/kg-1,Value,Munida
1998-03-17,1998,Taiaroa Head (50km offshore),Otago,Partial pressure CO2,340.8,uatm,Value,Munida
1998-03-17,1998,Taiaroa Head (50km offshore),Otago,Salt water temperature,12.0,Degrees Celsius,Mean,Munida
1998-03-17,1998,Taiaroa Head (50km offshore),Otago,Aragonite saturation,2.393,NA,Value,Munida
