,date,year,data_value
3,1998-01-20,1998,8.0948
11,1998-02-16,1998,8.0906
19,1998-03-17,1998,8.1026
27,1998-04-15,1998,
35,1998-10-05,1998,8.0743
43,1998-10-21,1998,8.0751
51,1998-11-16,1998,8.0697
59,1999-02-12,1999,8.0767
67,1999-04-20,1999,8.0873
75,1999-05-11,1999,8.0945
83,1999-06-01,1999,8.0917
91,1999-07-05,1999,8.0882
99,1999-08-27,1999,8.067
107,1999-11-25,1999,8.0778
115,2000-02-14,2000,8.0993
123,2000-04-03,2000,8.0938
131,2000-06-01,2000,8.0737
139,2000-08-02,2000,8.0795
147,2000-09-25,2000,8.0785
155,2000-10-08,2000,8.0853
163,2000-12-04,2000,8.0775
171,2001-01-31,2001,8.0999
179,2001-04-09,2001,8.107
187,2001-05-29,2001,8.0885
195,2001-08-01,2001,8.0769
203,2001-09-18,2001,8.0788
211,2001-12-03,2001,8.0843
219,2002-01-29,2002,8.0985
227,2002-04-11,2002,8.0951
235,2002-06-12,2002,8.0864
243,2002-08-14,2002,8.075
251,2002-09-09,2002,8.0753
259,2002-12-03,2002,8.1063
267,2003-02-03,2003,8.0938
275,2003-04-14,2003,8.0998
283,2003-06-09,2003,8.0903
291,2003-08-12,2003,8.0814
299,2003-10-15,2003,8.0784
307,2004-01-27,2004,8.1253
315,2004-03-03,2004,8.1056
323,2004-03-23,2004,8.111
331,2004-05-10,2004,8.0853
339,2004-07-28,2004,8.0818
347,2004-09-13,2004,8.0701
355,2004-11-08,2004,8.0877
363,2005-01-21,2005,8.09
371,2005-03-15,2005,8.0877
379,2005-05-23,2005,8.0891
387,2005-07-26,2005,8.0727
395,2005-09-14,2005,8.085
403,2006-01-23,2006,8.0782
411,2006-01-27,2006,8.0725
419,2006-03-21,2006,8.0861
427,2006-07-30,2006,
435,2006-08-30,2006,8.0806
443,2006-10-24,2006,8.0707
451,2006-12-15,2006,8.1274
459,2007-04-02,2007,8.0893
467,2007-05-22,2007,8.0754
475,2007-07-20,2007,8.0636
483,2007-09-19,2007,8.0423
491,2007-11-26,2007,8.057
499,2008-01-15,2008,8.0939
507,2008-04-09,2008,8.0986
515,2008-05-26,2008,8.0638
523,2008-09-16,2008,8.0781
531,2008-11-28,2008,8.0653
539,2009-01-28,2009,8.0777
547,2009-03-25,2009,8.0769
555,2009-06-03,2009,8.067
563,2009-07-14,2009,8.0652
571,2009-09-29,2009,8.0652
579,2009-12-08,2009,8.0843
587,2010-01-15,2010,8.0696
595,2010-03-05,2010,
603,2010-05-05,2010,8.0772
611,2010-07-14,2010,8.065
619,2010-09-28,2010,8.0609
627,2010-11-19,2010,8.0886
635,2011-03-01,2011,8.0877
643,2011-03-23,2011,8.1
651,2011-07-19,2011,8.064
659,2011-09-23,2011,8.0627
667,2011-11-08,2011,8.0792
675,2012-01-10,2012,8.0459
683,2012-03-27,2012,8.0696
691,2012-05-24,2012,8.0612
699,2012-07-19,2012,8.0494
707,2012-09-04,2012,8.0669
715,2012-11-15,2012,
723,2013-01-22,2013,8.0574
731,2013-03-08,2013,8.0786
739,2013-05-31,2013,8.074
747,2013-09-03,2013,8.0492
755,2013-11-13,2013,8.0607
763,2014-01-28,2014,8.0694
771,2014-03-28,2014,8.0778
779,2014-06-03,2014,8.0647
787,2014-07-29,2014,8.0604
795,2014-12-19,2014,8.07
803,2015-03-10,2015,8.0705
811,2015-04-21,2015,8.076
819,2015-08-11,2015,8.0639
827,2015-11-05,2015,
835,2015-12-18,2015,8.0638
843,2016-01-17,2016,8.0615
851,2016-03-14,2016,8.0738
859,2016-06-14,2016,8.0667
867,2016-08-23,2016,8.0579
875,2016-09-20,2016,8.0563
883,2017-02-02,2017,8.0602
891,2017-02-23,2017,8.0839
899,2017-03-27,2017,8.0708
907,2017-06-29,2017,8.0894
915,2017-07-14,2017,8.0487
923,2017-09-21,2017,8.06
931,2017-11-28,2017,8.0442
939,2018-01-30,2018,
947,2018-03-26,2018,
955,2018-04-17,2018,8.0624
963,2018-07-13,2018,8.0498
971,2018-09-20,2018,8.0462
979,2018-11-09,2018,8.0617
987,2019-01-29,2019,8.0495
995,2019-03-15,2019,8.0767
1003,2019-05-23,2019,8.0562
1011,2019-07-23,2019,8.0544
1019,2019-09-03,2019,8.0455
1027,2019-11-04,2019,8.0464
1035,2020-01-14,2020,8.0963
1043,2020-03-17,2020,8.0745
1051,2020-06-02,2020,8.0435
1059,2020-07-28,2020,8.0473
1067,2020-10-13,2020,
1075,2020-11-23,2020,8.0493
1083,2021-01-27,2021,
